x,y
12.3927,6.04738
11.1463,27.4194
20.6429,16.8327
18.2023,8.18629
13.06,27.8715
13.7135,11.7346
22.2921,14.1219
18.4835,21.7325
7.7419,13.9386
14.2374,7.7294
25.2918,19.0614
9.38413,3.26569
2.82002,19.7508
4.44354,11.2709
3.59328,8.33888
3.87161,13.1739
18.9053,27.6484
15.0667,3.8877
14.4139,26.1676
14.0497,13.6986
22.4931,16.1092
26.2002,13.2882
11.199,15.9798
2.27059,17.8716
18.6565,23.7189
16.1009,19.2049
23.0257,19.3872
15.1408,24.3106
7.59354,25.7597
2.0308,13.9523
26.2756,8.47272
10.5633,6.84845
13.6654,24.371
16.2142,13.2877
25.6036,11.4977
16.9683,2.01146
15.0108,1.91973
17.0476,28.0324
5.22799,9.60396
6.12555,24.6308
16.7733,22.7258
12.1263,8.03576
17.0371,15.1012
11.3013,11.3901
8.52003,20.6875
26.3186,15.3543
16.307,26.1993
22.3365,4.15394
14.5727,20.3034
24.3964,20.9775
6.26719,7.89741
21.7847,23.9181
13.0909,4.12377
12.6879,9.95095
12.3468,25.8452
28.2201,15.9174
18.2349,19.7876
4.81827,20.0551
9.24403,7.75104
18.2021,13.4706
20.3843,13.8215
8.95446,16.7459
6.01223,12.6368
1.99931,16.0746
23.6072,8.0796
26.3273,21.4429
7.83095,9.13559
19.0323,4.31299
18.898,2.33487
12.6597,20.8309
9.13323,10.6624
18.6322,6.26119
20.0803,24.9477
12.4871,22.7887
4.21804,17.4068
23.8294,5.41246
6.80615,10.8269
19.0211,15.284
22.8056,10.3486
21.7187,8.6856
16.092,7.87157
14.6629,9.64764
19.404,18.192
16.8134,9.73447
15.0466,14.9075
2.29357,12.1572
6.00943,5.41564
20.2825,22.6247
25.1575,6.84505
21.7688,21.2946
3.60102,21.6803
23.8801,24.5172
16.504,20.7583
9.08286,18.7374
14.7001,5.84854
24.4367,15.9846
27.8368,17.8326
20.2176,20.0349
17.866,16.9189
11.4864,13.3806
11.1423,2.57924
17.0655,4.0037
15.09,28.0906
27.7572,12.063
20.724,26.8332
19.5548,12.0035
4.73399,23.2634
25.2101,23.0625
23.7056,12.1207
20.3227,7.28782
23.7644,17.8594
14.6727,18.3122
18.2554,25.7575
21.3907,18.3682
21.7093,12.2285
9.27391,5.2811
15.8765,16.7223
15.6167,11.3911
7.68976,6.49579
22.2444,6.63043
24.3554,13.9993
28.141,13.9781
11.1444,4.57461
27.1291,10.2122
18.8565,10.0123
27.1948,19.6839
4.61004,6.78829
13.0564,2.12684
7.28491,15.6771
25.919,17.3087
22.387,25.8027
20.6783,3.12592
9.40309,26.7429
10.7384,9.47161
7.57923,4.23652
17.6046,11.5681
20.8045,10.451
24.706,9.73052
16.6759,5.96096
14.7995,22.4079
23.2708,22.6104
20.7332,5.33642
2.81215,10.2599
5.6425,14.5757
10.5032,25.0731
3.84443,15.3835
12.7354,6.08923
11.2197,27.4687
20.5361,16.5642
18.0679,8.17733
13.1361,27.8949
13.643,11.7052
22.3614,14.1141
18.5023,21.7547
7.77375,13.7342
14.0972,7.74171
25.26,19.1858
9.30584,3.28757
2.82538,19.8888
4.42305,11.4335
3.59202,8.45999
3.89126,13.3608
18.9467,27.6331
15.0754,3.90123
14.309,26.2569
13.4602,13.6947
22.4612,16.1074
26.247,13.3705
10.8702,17.2912
2.29757,18.0072
18.4813,23.7571
16.6656,18.5554
22.9076,19.6582
15.6387,24.3393
7.69127,25.7986
2.02932,14.107
26.2506,8.46584
10.8095,6.54105
12.6755,23.9011
15.7767,13.2476
25.6311,11.4215
16.9475,1.99305
14.9856,1.94603
16.9534,27.9781
5.1921,9.64998
5.95831,24.5645
16.6121,23.9046
11.7938,8.29003
16.9784,14.8432
11.0709,11.5776
8.4979,20.7597
26.3528,15.2463
16.5512,26.0197
22.3134,4.11965
17.1561,20.0513
24.4504,20.8084
6.24084,7.94639
22.0539,23.9076
13.0458,4.11888
12.4757,10.1621
12.5857,25.899
28.2233,15.8928
19.0105,19.4448
4.86318,19.9995
9.1315,7.89031
17.7564,13.0214
20.5714,13.3782
9.27702,16.8617
5.85981,12.8174
2.02505,15.969
23.5849,8.04007
26.3403,21.4209
7.71645,9.2945
19.0045,4.28096
18.8756,2.31963
13.1774,21.9326
8.83271,10.954
18.5132,6.19084
20.3428,24.9195
10.7986,23.2291
4.23252,17.4076
23.8034,5.37605
6.67265,10.9944
19.0118,14.5248
22.8015,10.1645
21.6679,8.53709
15.6712,7.64319
14.3809,9.58306
19.8095,17.6391
16.3652,9.49062
14.7373,14.9497
2.29427,12.0939
6.0047,5.41704
20.3812,22.9328
25.1316,6.80404
21.7009,21.4576
3.59265,21.5434
23.9133,24.53
17.3406,22.0409
9.10339,18.8537
14.5654,5.88853
24.4852,15.9205
27.8734,17.812
20.9282,19.6602
18.3173,16.3188
11.136,13.5738
11.1198,2.59014
17.0365,3.96462
14.9822,28.0789
27.7532,12.0125
20.6946,26.8738
